Label	phylum	class	order	family	genus	species
u118051	Pisuviricota	Duplopiviricetes	.	.	.	.
u118273	.	.	.	.	.	Wuhan house centipede virus 1
u118358	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	Mitovirus	.
u118376	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	.	.
u11842	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Trichomonasvirus	Trichomonas vaginalis virus 2_Trichomonas vaginalis virus 3_Trichomonas vaginalis virus 4
u118456	Pisuviricota	.	.	.	.	.
u118521	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u118562	Pisuviricota	.	.	.	.	.
u118578	Kitrinoviricota	Alsuviricetes	.	.	.	.
u118798	.	.	.	.	.	.
u118897	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u118950	Pisuviricota	Pisoniviricetes	.	.	.	Beihai picorna-like virus 111
u118962	Pisuviricota	Duplopiviricetes	.	.	.	.
u119330	.	.	.	.	.	.
u11938	.	.	.	.	.	.
u119390	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u119406	.	.	.	.	.	.
u119493	Lenarviricota	Howeltoviricetes_Amabiliviricetes	Cryppavirales	Mitoviridae	Mitovirus	Beta vulgaris mitovirus 1_Cannabis sativa mitovirus 1_Mitovirus sp.
u119506	.	.	.	.	.	.
u119572	Lenarviricota	Allassoviricetes	.	.	.	.
u119591	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Gammacarmovirus_Tombusvirus_Aureusvirus	Beihai tombus-like virus 4_Melon necrotic spot virus
u119618	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u119651	Pisuviricota	Pisoniviricetes	.	.	.	.
u119847	Lenarviricota	Allassoviricetes	.	.	.	.
u119850	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u119863	.	.	.	.	.	.
u119916	Pisuviricota	Pisoniviricetes	.	.	.	.
u119959	Kitrinoviricota_Pisuviricota	Magsaviricetes_Pisoniviricetes	Nodamuvirales	.	.	.
u120322	Pisuviricota	.	.	.	.	.
u120417	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	.
u120526	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u120644	Kitrinoviricota	.	.	.	.	.
u120694	Pisuviricota	Pisoniviricetes_Duplopiviricetes	.	.	.	.
u12072	.	.	.	.	.	.
u120737	.	.	.	.	.	.
u120825	Pisuviricota_Lenarviricota	Stelpaviricetes_Pisoniviricetes	Stellavirales	.	.	.
u120910	Duplornaviricota_Pisuviricota	.	.	.	.	.
u120966	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	Leviviridae sp.
u120997	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u121154	Lenarviricota	Allassoviricetes	.	.	.	.
u121156	Kitrinoviricota_Pisuviricota	Tolucaviricetes_Pisoniviricetes	Tolivirales_Sobelivirales	.	.	Beihai sobemo-like virus 12
u121169	Pisuviricota	.	.	.	.	.
u121288	Lenarviricota_Kitrinoviricota	Amabiliviricetes	.	.	.	.
u121381	.	.	.	.	.	.
u121385	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	.	.
u12154	.	.	.	.	.	.
u121569	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
